model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_BAG_L2_FULL,0.9738647671921646,,f1,9.866940259933472,,1265.11852145195,0.1852869987487793,1.737097978591919,5.826837539672852,2,True,12
LightGBMLarge_BAG_L1_FULL,0.9721526908635795,,f1,2.8296468257904053,,11.962454319000244,2.8296468257904053,,11.962454319000244,1,True,11
XGBoost_BAG_L1_FULL,0.9716400792409551,,f1,0.4142265319824219,,4.297554969787598,0.4142265319824219,,4.297554969787598,1,True,9
LightGBMXT_BAG_L1_FULL,0.9701142231262713,,f1,3.66603422164917,,12.339879989624023,3.66603422164917,,12.339879989624023,1,True,1
LightGBM_BAG_L1_FULL,0.9697507040784396,,f1,1.1769559383392334,,7.021670341491699,1.1769559383392334,,7.021670341491699,1,True,2
NeuralNetTorch_BAG_L1_FULL,0.9688851826757701,,f1,0.17699337005615234,,349.512277841568,0.17699337005615234,,349.512277841568,1,True,10
RandomForestGini_BAG_L1_FULL,0.9648672705377245,,f1,0.23445558547973633,1.7869930267333984,2.8868067264556885,0.23445558547973633,1.7869930267333984,2.8868067264556885,1,True,3
CatBoost_BAG_L1_FULL,0.9642465681924944,,f1,0.1175234317779541,,808.8832886219025,0.1175234317779541,,808.8832886219025,1,True,5
RandomForestEntr_BAG_L1_FULL,0.9629007713701002,,f1,0.20261383056640625,1.7708289623260498,2.4958336353302,0.20261383056640625,1.7708289623260498,2.4958336353302,1,True,4
ExtraTreesGini_BAG_L1_FULL,0.9566315789473684,,f1,0.2026519775390625,1.8646800518035889,2.254138946533203,0.2026519775390625,1.8646800518035889,2.254138946533203,1,True,6
ExtraTreesEntr_BAG_L1_FULL,0.9547277332207682,,f1,0.20275020599365234,1.8488733768463135,2.0991485118865967,0.20275020599365234,1.8488733768463135,2.0991485118865967,1,True,7
NeuralNetFastAI_BAG_L1_FULL,0.9157127991675338,,f1,0.45780134201049805,,55.53863000869751,0.45780134201049805,,55.53863000869751,1,True,8
